,jyunni,race_number,name
0,1,1,      OKAMATSU TADASHI      
1,2,1,      TAKENAKA KAZUNARI      
2,3,1,      MASUZAKI YOSUKE      
3,4,1,      KANAYAMA SYUHEI      
4,5,1,      HAYAFUNE AYUMU      
5,6,1,      MATSUBU SHINJI      
6,7,1,      NAKANO MASANORI      
7,8,1,      ASANO HIROYUKI      
0,1,2,      GOSYO ATSUSHI      
1,2,2,      SHIGETOMI HIDEO      
2,3,2,      IKEDA MASAKAZU      
3,4,2,      ARIYOSHI TATSUYA      
4,5,2,      FUJIMOTO TSUYOSHI      
5,6,2,      NISHIKAWA YORIOMI      
6,7,2,      YAMAZAKI SUSUMU      
7,8,2,      YUASA HIROSHI      
0,1,3,      FUKUDA YUJI      
1,2,3,      HASE HARUHISA      
2,3,3,      TANITSU KEIJI      
3,4,3,      KANEGAE SYOHEI      
4,5,3,      HAYASHI HIROAKI      
5,6,3,            TOH TATSUYA            
6,7,3,      HARUMOTO AYATO      
7,8,3,      IKEDA YASUNORI      
0,1,4,      YANO MASATAKA      
1,2,4,      YOSHIMATSU KENJI      
2,3,4,      HONAGA TAKAO      
3,4,4,      ITO NOBUO      
4,5,4,      IWAMI TAKASHI      
5,6,4,      AKITA TAKAHIRO      
6,7,4,      ISHIBASHI DAI      
7,8,4,      UNETSUBO TAKAO      
0,1,5,      TANAKA SATORU      
1,2,5,      MATSUI YAMATO      
2,3,5,      ANAMI KAZUMASA      
3,4,5,      KUROIWA AKIRA      
4,5,5,      NAGATA TAKANORI      
5,6,5,      OCHI NAOHISA      
6,7,5,      KAWAHARA TAKESHI      
7,8,5,      MORIZONO KAZUTOSHI      
0,1,6,      KATAOKA KENJI      
1,2,6,      ISHIGAI TAKEYUKI      
2,3,6,      TANAKA SATOSHI      
3,4,6,      TAGATA HIDEKAZU      
4,5,6,      SUGIMOTO MASAHIKO      
5,6,6,      SASAKI KEI      
6,7,6,      FUKUNAGA TAKASHI      
7,8,6,      KAKEGAWA KAZUTO      
0,1,7,      HATA YOSHIHIRO      
1,2,7,      NAKAMURA MASATO      
2,3,7,            TANAKA YASUHIKO            
3,4,7,      MITSUMURA YOJI      
4,5,7,      HISAKADO TORU      
5,6,7,      CHIBA YASUNOBU      
6,7,7,      KURIBARA SYUNSUKE      
7,8,7,      SAITO TAKAMICHI      
0,1,8,      SHINOHARA ATSUSHI      
1,2,8,      ITO SYOJI      
2,3,8,      NISHIZAKI YOICHIRO      
3,4,8,      OKAMOTO HIROYUKI      
4,5,8,      IWASHINA SENTA      
5,6,8,      NISHIMURA YOSHIMASA      
6,7,8,      FUJIOKA KAZUKI      
7,8,8,      NAKAYAMA HIKARU      
0,1,9,      INAHARA RYOTARO      
1,2,9,      TANAKA SUSUMU      
2,3,9,      KIMURA TAKESHI      
3,4,9,      NAKAYAMA TORU      
4,5,9,      NISHIMURA RYUTARO      
5,6,9,      YAMAMOTO TOMOHIRO      
6,7,9,      TAKEMOTO OSAMU      
7,8,9,            YAMAMOTO MICHIO            
0,1,10,      AOYAMA SYUHEI      
1,2,10,      OKAYA MIYUKI      
2,3,10,      HIMURO SHIRO      
3,4,10,      MARUYAMA SATOSHI      
4,5,10,      BANDA TAKAHIRO      
5,6,10,      IWATA HIROOMI      
6,7,10,      IKEURA KAZUHIRO      
7,8,10,      BEPPU KEIGO      
0,1,11,      TAKAHASHI MITSUGU      
1,2,11,      WADA KENGO      
2,3,11,      OGATA KOICHI      
3,4,11,      YAMASHITA TOMOHIDE      
4,5,11,      BEPPU SUEHIKO      
5,6,11,      FUKAYA HIKARU      
6,7,11,      TAKAGI KENTARO      
7,8,11,      NAKAO TAKASHI      
0,1,12,      IWASAKI RYOICHI      
1,2,12,      HITOMI TAKESHI      
2,3,12,      OKABE SATOSHI      
3,4,12,      NIMURA HIRYU      
4,5,12,      MATSUO HIROFUMI      
5,6,12,      SUNAMI KAZUYUKI      
6,7,12,      HAMANO JUN      
7,8,12,      MAEDA JUN      
